URL,Brand,Item Type,Size,Price,Original Price,Material,Condition,Item ID
https://www.thredup.com/product/women-rayon-torrid-black-casual-dress/119617470?query_id=622956317577658368&result_id=622956318101946368,Torrid,Casual Dress,Size Med Plus (00) (Plus) ,$16.95,$62,"61% Rayon, 33% Nylon, 6% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119617470
https://www.thredup.com/product/women-rayon-no-comment-pink-romper/119592232?query_id=622956317577658368&result_id=622956318101946368,No Comment,Romper,Size XL ,$17.43,$60,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119592232
https://www.thredup.com/product/women-polyester-one-clothing-blue-casual-dress/119626752?query_id=622956317577658368&result_id=622956318101946368,One Clothing,Casual Dress,Size M ,$10.95,$36,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119626752
https://www.thredup.com/product/women-nylon-guess-green-cocktail-dress/118959887?query_id=622956317577658368&result_id=622956318101946368,Guess,Cocktail Dress,Size L ,$18.15,$89,"86% Nylon, 14% Spandex",This item is brand new with tags still attached.,Item #118959887
https://www.thredup.com/product/women-cotton-leith-pink-casual-dress/119736321?query_id=622956317577658368&result_id=622956318101946368,Leith,Casual Dress,Size XL ,$27.51,$119,100% Cotton,This item is brand new with tags still attached.,Item #119736321
https://www.thredup.com/product/women-ann-taylor-maroon-casual-dress/119614085?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor,Casual Dress,Size 6 ,$23.19,$129,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119614085
https://www.thredup.com/product/women-cotton-ellos-black-casual-dress/119722630?query_id=622956317577658368&result_id=622956318101946368,Ellos,Casual Dress,Size 28 (Plus) ,$14.79,$36,100% Cotton,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119722630
https://www.thredup.com/product/women-rayon-gap-black-casual-dress/119639786?query_id=622956317577658368&result_id=622956318101946368,Gap,Casual Dress,Size L ,$13.03,$70,"87% Rayon, 8% Polyester, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119639786
https://www.thredup.com/product/women-viscose-sugar-lips-pink-casual-dress/119628056?query_id=622956317577658368&result_id=622956318101946368,Sugar Lips,Casual Dress,Size M ,$24.63,$68,"52% Viscose, 48% Rayon","This item is in excellent condition with only light signs of wear, if any.",Item #119628056
https://www.thredup.com/product/women-rayon-mimi-chica-purple-casual-dress/119626124?query_id=622956317577658368&result_id=622956318101946368,Mimi Chica,Casual Dress,Size M ,$15.91,$36,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119626124
https://www.thredup.com/product/women-rayon-karen-kane-white-casual-dress/119612863?query_id=622956317577658368&result_id=622956318101946368,Karen Kane,Casual Dress,Size M ,$22.31,$119,"93% Rayon, 7% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119612863
https://www.thredup.com/product/women-assorted-brands-maroon-casual-dress/119610873?query_id=622956317577658368&result_id=622956318101946368,Assorted Brands,Casual Dress,Size XL ,$15.27,$48,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119610873
https://www.thredup.com/product/women-cotton-universal-thread-black-casual-dress/119653819?query_id=622956317577658368&result_id=622956318101946368,Universal Thread,Casual Dress,Size XXL ,$12.39,$24,100% Cotton,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119653819
https://www.thredup.com/product/women-polyester-jessica-simpson-black-cocktail-dress/119629084?query_id=622956317577658368&result_id=622956318101946368,Jessica Simpson,Cocktail Dress,Size XL ,$27.51,$119,"62% Polyester, 37% Nylon, 1% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119629084
https://www.thredup.com/product/women-polyester-banana-republic-blue-cocktail-dress/119623290?query_id=622956317577658368&result_id=622956318101946368,Banana Republic,Cocktail Dress,Size 14 ,$18.07,$80,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119623290
https://www.thredup.com/product/women-cotton-old-navy-black-casual-dress/119553508?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size L ,$12.79,$40,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #119553508
https://www.thredup.com/product/women-cotton-forever-21-maroon-casual-dress/119636581?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Casual Dress,Size M ,$5.99,$6.9,"95% Cotton, 5% Spandex",This item is brand new with tags still attached.,Item #119636581
https://www.thredup.com/product/women-free-people-yellow-casual-dress/119535060?query_id=622956317577658368&result_id=622956318101946368,Free People,Casual Dress,Size 6 ,$37.59,$128,Material unknown,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119535060
https://www.thredup.com/product/women-cotton-mud-pie-brown-casual-dress/119544690?query_id=622956317577658368&result_id=622956318101946368,Mud Pie,Casual Dress,Size S ,$15.03,$48,100% Cotton,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119544690
https://www.thredup.com/product/women-nylon-venus-black-cocktail-dress/119593320?query_id=622956317577658368&result_id=622956318101946368,Venus,Cocktail Dress,Size M ,$15.51,$45,"92% Nylon, 8% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119593320
https://www.thredup.com/product/women-polyester-bcbgmaxazria-blue-casual-dress/119529327?query_id=622956317577658368&result_id=622956318101946368,BCBGMAXAZRIA,Casual Dress,Size 6 ,$35.99,$268,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119529327
https://www.thredup.com/product/women-polyester-eye-of-the-needle-maroon-cocktail-dress/117423046?query_id=622956317577658368&result_id=622956318101946368,eye of the needle,Cocktail Dress,Size S ,$47.19,$200,100% Polyester,This item is brand new with tags still attached.,Item #117423046
https://www.thredup.com/product/women-polyester-merona-orange-casual-dress/119620336?query_id=622956317577658368&result_id=622956318101946368,Merona,Casual Dress,Size XS ,$12.47,$28,"62% Polyester, 33% Rayon, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119620336
https://www.thredup.com/product/women-forever-21-gray-casual-dress/119162427?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Casual Dress,Size L ,$9.83,$25,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119162427
https://www.thredup.com/product/women-polyester-tory-burch-black-casual-dress/119543488?query_id=622956317577658368&result_id=622956318101946368,Tory Burch,Casual Dress,Size 10 ,$64.79,$375,"53% Polyester, 43% Wool, 4% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119543488
https://www.thredup.com/product/women-polyester-gilli-blue-casual-dress/119591708?query_id=622956317577658368&result_id=622956318101946368,Gilli,Casual Dress,Size M ,$15.43,$48,"96% Polyester, 4% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119591708
https://www.thredup.com/product/women-elastane-lacoste-black-casual-dress/120953831?query_id=622956317577658368&result_id=622956318101946368,Lacoste,Casual Dress,Size 42 (EU) ,$23.51,$119,"6% Elastane, 94% Cotton",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #120953831
https://www.thredup.com/product/women-rayon-by-and-by-blue-romper/119663159?query_id=622956317577658368&result_id=622956318101946368,By & By,Romper,Size S ,$16.87,$36,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119663159
https://www.thredup.com/product/women-the-row-pink-casual-dress/119763432?query_id=622956317577658368&result_id=622956318101946368,The Row,Casual Dress,Size S ,,$1890,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119763432
https://www.thredup.com/product/women-polyester-tmg-new-york-black-casual-dress/119735769?query_id=622956317577658368&result_id=622956318101946368,TMG New York,Casual Dress,Size M ,$7.99,$30,"95% Polyester, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119735769
https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-casual-dress/119711477?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor LOFT,Casual Dress,Size S ,$15.11,$70,"93% Cotton, 7% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119711477
https://www.thredup.com/product/women-rayon-old-navy-maroon-casual-dress/119623106?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size M ,$15.99,$40,"76% Rayon, 20% Polyester, 4% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119623106
